state_zip,FacID,FacID.1,lat,lon,state_facility,deaths_coef_2,deaths_coef_1_x,deaths_coef_3_x,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
Alabama,26,26,33.2442,-86.4567,Alabama,1379.640045,1251.312444,1507.988751,6023.407634,5463.448443,6583.39539
Arizona,26,26,33.2442,-86.4567,Alabama,0.075472597,0.068458117,0.082487077,6023.407634,5463.448443,6583.39539
Arkansas,26,26,33.2442,-86.4567,Alabama,50.05050656,45.39862192,54.70242267,6023.407634,5463.448443,6583.39539
California,26,26,33.2442,-86.4567,Alabama,0.022833228,0.020711091,0.024955366,6023.407634,5463.448443,6583.39539
Colorado,26,26,33.2442,-86.4567,Alabama,0.233448759,0.211751848,0.255145672,6023.407634,5463.448443,6583.39539
Connecticut,26,26,33.2442,-86.4567,Alabama,37.4892511,34.00492137,40.97359128,6023.407634,5463.448443,6583.39539
DC,26,26,33.2442,-86.4567,Alabama,10.79744637,9.793890948,11.8010085,6023.407634,5463.448443,6583.39539
Delaware,26,26,33.2442,-86.4567,Alabama,13.02508341,11.81449597,14.2356763,6023.407634,5463.448443,6583.39539
Florida,26,26,33.2442,-86.4567,Alabama,274.7094726,249.1770344,300.2420618,6023.407634,5463.448443,6583.39539
Georgia,26,26,33.2442,-86.4567,Alabama,801.6876917,727.161384,876.2174557,6023.407634,5463.448443,6583.39539
Idaho,26,26,33.2442,-86.4567,Alabama,0.008117917,0.007363431,0.008872402,6023.407634,5463.448443,6583.39539
Illinois,26,26,33.2442,-86.4567,Alabama,126.1693089,114.4428091,137.8958561,6023.407634,5463.448443,6583.39539
Indiana,26,26,33.2442,-86.4567,Alabama,143.1265788,129.823767,156.4294975,6023.407634,5463.448443,6583.39539
Iowa,26,26,33.2442,-86.4567,Alabama,9.897722402,8.977815057,10.81763092,6023.407634,5463.448443,6583.39539
Kansas,26,26,33.2442,-86.4567,Alabama,9.164628738,8.312854519,10.01640436,6023.407634,5463.448443,6583.39539
Kentucky,26,26,33.2442,-86.4567,Alabama,171.466414,155.5291509,187.4038917,6023.407634,5463.448443,6583.39539
Louisiana,26,26,33.2442,-86.4567,Alabama,81.62250678,74.03618397,89.20888423,6023.407634,5463.448443,6583.39539
Maine,26,26,33.2442,-86.4567,Alabama,7.809587178,7.08375296,8.535422504,6023.407634,5463.448443,6583.39539
Maryland,26,26,33.2442,-86.4567,Alabama,92.2400855,83.66697439,100.8132477,6023.407634,5463.448443,6583.39539
Massachusetts,26,26,33.2442,-86.4567,Alabama,54.91215427,49.80851735,60.01580363,6023.407634,5463.448443,6583.39539
